sku;colecao;categoria;subcategoria
01TS014600;VE16;Jeanswear;Tshirt
01TS014700;VE16;Jeanswear;Tshirt
01TS014900;VE16;Jeanswear;Tshirt
01TS015000;VE16;Jeanswear;Tshirt
01TS015100;VE16;Jeanswear;Tshirt
01TS015200;VE16;Jeanswear;Tshirt
01TS015300;VE16;Jeanswear;Tshirt
01TS015400;VE16;Jeanswear;Tshirt
01TS015600;VE16;Jeanswear;Tshirt
01TS015700;VE16;Jeanswear;Tshirt
01TS015800;VE16;Jeanswear;Tshirt
01TS016100;VE16;Jeanswear;Tshirt
01TS016300;AN01;Jeanswear;Tshirt
01TS016400;AN01;Jeanswear;Tshirt
01TS016500;AN01;Jeanswear;Tshirt
01TS016600;AN01;Jeanswear;Tshirt
01TS016700;AN01;Jeanswear;Tshirt
01TS016800;AN01;Jeanswear;Tshirt
01TS016900;AV16;Jeanswear;Tshirt
01TS017000;AV16;Jeanswear;Tshirt
01TS017100;AV16;Jeanswear;Tshirt
01TS017200;AV16;Jeanswear;Tshirt
01TS017300;AV16;Jeanswear;Tshirt
01TS017400;AV16;Jeanswear;Tshirt
01TS017500;AV16;Jeanswear;Tshirt
01TS017600;AV16;Jeanswear;Tshirt
01TS017800;AV16;Jeanswear;Tshirt
01TS017900;AV16;Jeanswear;Tshirt
01TS018000;AV16;Jeanswear;Tshirt
01TS018100;AV16;Jeanswear;Tshirt
01TS018200;AV16;Jeanswear;Tshirt
01TS018300;AV16;Jeanswear;Tshirt
01TS018400;AV16;Jeanswear;Tshirt
01TS018500;AV16;Jeanswear;Tshirt
01TS018600;AV16;Jeanswear;Tshirt
01TS018700;AV16;Jeanswear;Tshirt
01TS018800;AV16;Jeanswear;Tshirt
01TS019000;AV16;Jeanswear;Tshirt
01TS019100;AV16;Jeanswear;Tshirt
01TS019200;AV16;Jeanswear;Tshirt
01TS019300;AV16;Jeanswear;Tshirt
01TS019400;AV16;Jeanswear;Tshirt
01TS019500;AV16;Jeanswear;Tshirt
01TS019600;AI15;Jeanswear;Tshirt
01TS019700;AI15;Jeanswear;Tshirt
01TS019800;AI15;Jeanswear;Tshirt
01TS019900;AI15;Jeanswear;Tshirt
01TS020000;AI15;Jeanswear;Tshirt
01TS020100;AI15;Jeanswear;Tshirt
01TS020200;AI15;Jeanswear;Tshirt
